period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,90.0,58.648175818257585,0.0,15.692368227248249,6.793777984626104e-9,0.0,0.8027036484137441,0.002003338898161866
2,0,90.0,58.648176992267885,0.0,31.384736735327156,6.794071083504606e-9,0.0,0.8027036460154647,0.0
3,0,240.0,0.0,100.0,121.38473672853468,0.0,100.0,0.0,0.3
4,20,240.0,0.0,100.0,111.38473672853615,6.7942664827569404e-9,0.0,0.95,0.3
5,30,150.0,0.0,100.0,101.38473672853775,6.7945506998512445e-9,0.0,0.95,0.3
6,40,150.0,0.0,100.0,91.38473672853968,6.79494860378327e-9,0.0,0.95,0.3
7,40,150.0,0.0,100.0,81.38473672854161,6.795431772843587e-9,0.0,0.95,0.3
8,50,150.0,0.0,100.0,71.38473672854354,6.7960286287416255e-9,0.0,0.95,0.3
9,70,150.0,0.0,100.0,61.38473672854559,6.796739171477386e-9,0.0,0.0,0.3
10,80,150.0,0.0,70.0,50.884736735345314,6.797677087888589e-9,0.0,0.0,0.45
11,90,150.0,58.64814791354918,0.0,66.5770985864911,6.796476270665153e-9,0.0,0.8027037041855302,0.6
12,80,150.0,0.0,70.0,56.07709858649233,0.0,0.0,0.95,0.45
13,100,150.0,0.0,50.0,47.74376525315781,0.0,0.0,0.95,0.5
14,70,150.0,0.0,100.0,3.9330412054411608,33.81072404771661,0.0,0.95,0.3
15,70,150.0,58.648176991871146,0.0,19.625409706669927,0.0,0.0,0.8027036460179978,0.6
16,60,150.0,58.60376619104911,0.0,35.30763039740878,0.0,0.0,0.802792467617965,0.3
17,50,150.0,58.64817743902939,0.0,50.99999900076451,0.0,0.0,0.8027036451219407,0.6
18,30,150.0,0.0,100.0,40.999999000764554,0.0,0.0,0.95,0.3
19,30,110.0,0.0,100.0,30.999999000764554,0.0,0.0,0.95,0.3
20,10,100.0,0.0,99.99993539209288,21.00000546155868,0.0,0.0,0.9,0.3
21,10,100.0,0.0,100.0,11.000005461558679,0.0,0.0,0.0,0.3
22,0,100.0,0.0,100.0,1.000005461558679,0.0,0.0,0.95,0.3
23,0,20.0,58.6286470331363,0.0,16.687912632236408,0.0,0.0,0.8027427059337274,0.6
24,0,0.0,58.641638599839,0.0,0.0,32.37878770643401,0.0,0.8027167228003221,0.0
